aX,aY,aZ,gX,gY,gZ
-0.257,-0.594,-0.971,18.372,-116.516,14.343
-0.621,-1.037,-0.955,31.189,-168.579,-19.470
-1.093,-1.419,-0.840,20.874,-216.492,-47.241
-1.597,-1.745,-0.723,-18.921,-240.967,-71.045
-2.091,-2.010,-0.693,-74.036,-229.065,-77.393
-2.427,-2.286,-0.765,-158.508,-169.067,-54.077
-2.273,-1.821,-1.299,-272.705,-58.411,-7.080
-1.739,-1.094,-2.223,-366.943,65.857,53.406
-1.183,-0.252,-3.000,-369.019,143.555,129.211
-0.825,0.894,-3.282,-258.484,156.372,212.158
-0.656,1.812,-2.941,-69.275,124.451,279.785
-0.729,2.409,-2.311,118.591,72.937,318.909
-0.998,2.913,-1.835,235.352,26.001,312.073
-1.025,3.056,-1.732,264.038,15.076,254.150
-0.751,2.255,-1.122,255.188,9.399,129.761
-0.543,0.940,-0.509,230.103,-16.113,-32.654
-0.346,-0.428,-0.413,151.245,-37.781,-150.391
0.026,-1.349,-0.643,25.146,-38.818,-193.237
0.513,-1.443,-0.882,-94.727,-32.471,-170.227
0.634,-1.122,-1.018,-151.001,-35.339,-103.455
0.415,-0.708,-0.965,-126.465,-41.077,-30.090
0.162,-0.291,-0.796,-61.401,-24.231,26.917
0.062,-0.001,-0.657,5.798,9.888,70.923
0.024,0.162,-0.672,54.932,37.964,97.290
0.045,0.309,-0.797,69.824,57.434,95.337
0.062,0.391,-0.962,57.678,66.589,74.707
0.096,0.444,-1.121,31.860,65.430,46.509
0.145,0.443,-1.246,6.042,58.167,17.395
0.203,0.349,-1.299,-6.958,45.471,-5.676
0.250,0.203,-1.302,-7.263,29.785,-18.311
0.278,0.072,-1.270,-2.014,16.113,-19.958
0.286,-0.020,-1.205,2.930,5.859,-14.099
0.257,-0.043,-1.115,5.920,-0.488,-5.188
0.206,-0.006,-1.046,6.897,-1.831,3.479
0.167,0.056,-0.997,7.690,1.343,10.254
0.138,0.124,-0.972,11.169,6.348,14.099
0.126,0.158,-0.962,14.648,11.169,14.221
0.128,0.154,-0.959,15.747,13.672,9.644
0.141,0.130,-0.977,13.000,13.916,2.930
0.167,0.096,-0.989,7.019,13.000,-3.601
0.190,0.076,-1.015,0.916,11.963,-9.521
0.215,0.054,-1.048,-4.272,11.169,-13.062
0.237,0.026,-1.092,-6.714,10.315,-13.000
0.260,0.028,-1.129,-7.935,8.850,-8.423
0.258,0.056,-1.137,-7.385,5.554,-2.380
0.231,0.102,-1.110,-5.066,1.709,1.709
0.180,0.130,-1.062,-1.526,-1.038,3.357
0.168,0.156,-1.026,2.136,-1.404,2.136
0.163,0.137,-1.005,5.676,-1.099,-0.610
0.159,0.111,-0.991,8.423,-1.343,-3.906
0.163,0.081,-0.970,10.376,-1.099,-7.202
0.166,0.063,-0.961,10.498,-0.061,-9.399
0.169,0.059,-0.956,9.460,2.014,-10.376
0.170,0.064,-0.954,7.996,4.089,-10.254
