aX,aY,aZ,gX,gY,gZ
0.979,0.200,0.070,-7.202,10.559,3.723
0.986,0.190,0.045,-4.822,9.399,2.319
0.985,0.175,0.047,-2.380,7.263,1.343
0.991,0.163,0.046,-1.709,4.883,0.854
0.995,0.156,0.049,-1.892,1.892,0.671
0.989,0.158,0.058,-2.197,-0.854,0.671
0.985,0.162,0.067,-2.258,-2.747,1.404
0.975,0.164,0.078,-1.404,-4.211,2.441
0.969,0.164,0.089,-0.854,-4.822,3.296
0.964,0.159,0.094,-1.099,-4.456,3.662
0.963,0.159,0.097,-2.380,-3.906,3.784

2.043,1.001,-0.328,10.376,-21.729,-22.095
2.205,1.146,-0.384,26.489,-26.978,-28.381
2.287,1.212,-0.378,46.814,-33.936,-37.964
2.250,1.183,-0.294,62.317,-38.086,-51.636
2.165,1.115,-0.180,64.026,-35.767,-66.772
2.015,0.993,-0.076,50.842,-26.917,-79.773
1.872,0.835,0.003,26.123,-13.733,-88.501
1.807,0.702,0.086,-6.653,1.892,-94.116
1.743,0.627,0.108,-44.373,16.235,-97.168
1.631,0.569,0.122,-73.914,22.766,-98.450
1.490,0.480,0.136,-89.172,22.827,-95.886
1.412,0.360,0.153,-94.238,25.452,-89.661
1.343,0.240,0.131,-92.346,24.841,-82.153
1.292,0.074,0.131,-84.473,24.292,-78.918
1.343,-0.004,0.135,-75.439,27.161,-79.712
1.327,-0.034,0.136,-66.589,26.917,-76.538
1.279,-0.012,0.188,-53.101,22.583,-70.679
1.241,-0.039,0.222,-33.325,20.447,-70.129
1.197,-0.150,0.229,-12.146,28.687,-78.186
1.149,-0.324,0.169,3.723,44.128,-88.257
1.114,-0.520,0.052,9.949,57.922,-93.994
1.115,-0.676,-0.036,3.113,65.430,-91.309
1.051,-0.783,-0.181,-17.212,61.951,-80.933
1.030,-0.810,-0.229,-44.739,53.101,-69.824
1.011,-0.749,-0.259,-71.899,41.077,-61.340
0.954,-0.667,-0.260,-91.125,28.076,-54.565
0.899,-0.590,-0.280,-100.525,17.456,-47.241
0.867,-0.514,-0.301,-102.112,8.057,-39.551
0.785,-0.439,-0.300,-97.473,-0.916,-30.884
0.680,-0.355,-0.283,-87.891,-9.705,-21.484
0.574,-0.281,-0.238,-72.815,-17.700,-11.414
0.483,-0.218,-0.156,-54.749,-23.560,-2.136
0.432,-0.165,-0.074,-37.842,-27.893,6.287
0.297,-0.180,-0.056,-21.240,-34.119,14.771
0.267,-0.211,-0.011,-7.507,-26.428,18.188
0.294,-0.229,-0.008,0.610,-14.038,19.836
0.324,-0.231,-0.056,5.310,-4.700,21.790
0.310,-0.180,-0.123,7.019,-6.287,23.010
0.277,-0.076,-0.187,4.395,-17.700,20.691
0.230,-0.023,-0.244,-2.563,-34.058,13.062
0.204,0.014,-0.254,-9.338,-49.622,4.395
0.164,0.040,-0.187,-16.174,-64.270,0.671
0.138,0.067,-0.130,-25.024,-73.853,2.441
0.152,0.090,-0.113,-31.372,-76.111,6.897
0.199,0.100,-0.095,-28.076,-72.571,10.193
0.219,0.068,-0.119,-13.611,-67.871,12.329
0.229,-0.013,-0.152,10.498,-70.374,17.944
0.230,-0.167,-0.140,31.067,-83.374,27.588
0.204,-0.293,-0.133,32.043,-101.196,37.842
0.159,-0.319,-0.060,12.024,-121.643,49.377
0.115,-0.223,0.020,-25.879,-136.658,63.721
0.133,-0.004,0.112,-73.364,-139.160,75.867
0.134,0.245,0.160,-113.892,-133.423,82.703
0.165,0.484,0.220,-138.733,-119.690,81.909
0.245,0.676,0.298,-150.391,-100.891,78.491
0.371,0.866,0.386,-155.396,-86.670,77.759
0.496,1.057,0.442,-156.250,-75.012,77.332
0.613,1.202,0.473,-146.667,-62.927,72.327
0.691,1.256,0.490,-122.375,-52.002,61.462
0.775,1.196,0.500,-85.205,-45.410,46.448
0.856,0.996,0.566,-44.128,-47.058,28.442
0.820,0.729,0.581,-9.644,-57.800,9.155
0.778,0.490,0.645,10.498,-57.556,-5.859
0.743,0.316,0.674,18.433,-47.302,-14.465
0.716,0.167,0.688,18.677,-33.020,-16.541
0.712,0.071,0.663,12.207,-14.404,-14.893
0.749,0.031,0.586,2.014,5.432,-10.803
0.796,0.045,0.483,-6.531,22.461,-5.371
0.829,0.090,0.391,-11.353,34.241,-0.183
0.857,0.146,0.310,-12.939,41.504,4.639
0.878,0.204,0.259,-11.719,43.945,7.629
0.895,0.250,0.216,-9.644,43.518,7.690
0.907,0.258,0.181,-7.019,40.161,5.005
0.908,0.226,0.172,-3.723,36.316,1.160
0.910,0.174,0.157,-3.052,34.302,-1.648
0.929,0.129,0.138,-5.981,33.508,-2.808
0.947,0.116,0.124,-12.329,32.898,-2.136
0.948,0.146,0.107,-20.630,31.677,-0.183
0.948,0.203,0.097,-25.879,29.358,2.075
0.948,0.257,0.095,-25.024,25.696,3.296
0.950,0.293,0.096,-18.372,21.240,3.845
0.966,0.291,0.112,-8.484,16.602,3.662
0.982,0.274,0.147,0.488,12.207,2.747
0.989,0.273,0.193,6.165,7.202,2.441
0.927,0.255,0.185,9.888,1.465,2.625
0.930,0.250,0.222,12.268,4.028,0.793
0.932,0.233,0.246,13.611,8.423,-0.610
0.921,0.209,0.248,13.672,10.864,-0.854
0.930,0.185,0.243,11.780,14.465,-0.732
0.938,0.177,0.235,7.996,17.883,-0.427
0.937,0.184,0.214,4.028,20.752,-0.061
0.944,0.201,0.203,1.038,22.766,0.000
0.947,0.223,0.181,-0.366,23.987,-0.183
0.948,0.232,0.167,0.793,24.109,-0.916
0.937,0.223,0.161,4.150,23.254,-1.343
0.934,0.191,0.166,7.141,22.949,-1.953
0.937,0.156,0.161,8.118,23.437,-2.502
0.938,0.130,0.159,6.531,23.621,-2.563
0.934,0.118,0.159,3.479,24.109,-2.319
0.928,0.120,0.158,-0.793,24.353,-1.587
0.931,0.130,0.159,-4.089,24.841,-0.977
0.926,0.146,0.158,-6.226,25.452,-0.122
0.922,0.167,0.150,-6.470,25.940,1.038
0.924,0.173,0.140,-4.822,26.489,2.014
0.933,0.173,0.135,-1.892,26.428,2.197
0.944,0.168,0.123,1.343,26.428,1.831
0.951,0.167,0.116,4.761,26.306,1.648
0.950,0.167,0.109,7.568,25.940,2.258
0.955,0.178,0.103,9.277,26.001,2.930
0.949,0.200,0.088,9.521,26.184,3.235
0.942,0.215,0.072,10.193,26.123,2.747
0.938,0.212,0.056,11.719,25.696,1.648
0.947,0.191,0.043,13.306,24.780,0.122
0.955,0.154,0.042,13.855,23.193,-1.038
0.957,0.122,0.046,13.123,21.484,-1.160
0.956,0.119,0.057,10.681,20.569,-0.061
0.950,0.134,0.051,7.874,20.691,1.709
0.942,0.148,0.047,6.775,21.057,2.930
0.941,0.149,0.045,6.958,21.912,3.479

2.044,0.912,0.013,51.025,-36.377,-21.484
2.033,0.950,0.084,68.848,-41.992,-30.945
2.119,0.917,0.200,76.294,-36.682,-44.250
2.065,0.773,0.291,67.688,-22.827,-54.321
2.027,0.711,0.329,41.138,-1.099,-60.913
1.981,0.722,0.308,4.028,22.034,-63.843
1.934,0.731,0.266,-29.236,42.480,-66.345
1.839,0.708,0.243,-51.086,54.871,-71.472
1.726,0.618,0.227,-60.364,60.974,-75.562
1.627,0.471,0.199,-62.073,64.819,-76.050
1.564,0.313,0.160,-63.293,68.604,-75.256
1.510,0.173,0.094,-67.261,70.801,-75.317
1.496,0.042,0.039,-69.824,67.749,-75.623
1.480,-0.021,0.030,-71.594,57.983,-73.364
1.400,-0.056,0.076,-72.937,43.701,-68.176
1.272,-0.114,0.119,-71.045,30.884,-66.345
1.250,-0.166,0.145,-69.519,31.799,-71.106
1.259,-0.213,0.120,-72.510,41.809,-79.224
1.193,-0.275,0.015,-77.698,50.354,-87.402
1.150,-0.375,-0.066,-82.336,56.580,-95.703
1.158,-0.439,-0.139,-89.722,62.012,-103.088
1.127,-0.509,-0.178,-96.558,57.678,-106.628
1.062,-0.580,-0.162,-100.220,40.039,-104.736
0.974,-0.630,-0.097,-102.661,19.836,-98.083
0.884,-0.661,-0.038,-104.248,3.357,-87.524
0.804,-0.676,0.030,-101.868,-6.653,-73.425
0.790,-0.659,0.104,-97.412,-8.850,-55.359
0.732,-0.649,0.053,-93.506,-6.531,-33.569
0.671,-0.601,0.016,-88.867,2.747,-12.207
0.605,-0.503,-0.005,-81.482,15.259,6.409
0.532,-0.396,-0.036,-69.885,20.996,24.536
0.441,-0.297,-0.072,-53.894,18.555,40.649
0.355,-0.148,-0.136,-35.522,12.512,52.185
0.328,-0.070,-0.182,-17.456,1.953,54.749
0.374,-0.035,-0.167,-3.784,-11.169,45.898
0.402,-0.085,-0.151,2.075,-27.649,31.067
0.397,-0.171,-0.080,1.465,-44.739,15.198
0.362,-0.228,0.002,-8.362,-53.345,3.540
0.321,-0.233,0.036,-26.367,-51.880,1.648
0.311,-0.151,0.099,-44.373,-44.617,9.399
0.299,-0.063,0.068,-57.312,-38.818,22.888
0.284,0.008,0.038,-54.504,-35.217,37.354
0.324,0.047,0.066,-37.048,-23.804,51.270
0.338,0.143,0.030,-14.099,-17.273,64.392
0.339,0.267,-0.063,9.583,-25.940,72.388
0.377,0.214,-0.079,25.635,-48.889,65.186
0.365,0.097,-0.034,22.705,-72.388,41.992
0.306,0.017,-0.021,-2.563,-87.341,15.137
0.259,-0.004,0.004,-38.635,-90.088,-1.282
0.281,-0.004,-0.006,-71.838,-85.327,-3.479
0.324,0.028,0.032,-93.933,-79.895,2.441
0.369,0.074,0.094,-107.239,-76.111,11.963
0.342,0.130,0.106,-111.389,-75.439,22.400
0.337,0.172,0.197,-104.126,-75.989,35.217
0.331,0.187,0.288,-94.604,-77.026,51.270
0.338,0.295,0.370,-94.788,-75.745,67.200
