aX,aY,aZ,gX,gY,gZ
-0.812,0.300,0.478,2.686,22.339,5.676
-0.813,0.312,0.483,2.197,23.437,5.798
-0.814,0.312,0.488,2.930,23.865,5.127
-0.809,0.308,0.500,4.639,23.560,4.395
-0.811,0.293,0.514,6.897,22.705,3.723
-0.812,0.274,0.532,9.155,21.912,3.235
-0.824,0.258,0.558,10.498,21.912,3.174
-0.831,0.250,0.574,10.376,23.560,3.296
-0.833,0.242,0.584,10.254,26.550,3.906
-0.832,0.240,0.585,10.376,30.579,4.944
-0.831,0.230,0.580,10.437,34.607,6.653
-0.812,0.218,0.569,10.803,37.415,8.545
-0.802,0.213,0.558,10.376,39.734,9.949
-0.792,0.214,0.541,9.094,40.771,11.047
-0.783,0.218,0.532,7.874,39.917,11.414
-0.787,0.227,0.539,7.202,38.635,11.414
-0.793,0.240,0.546,6.897,37.537,11.169
-0.792,0.243,0.552,7.996,37.720,10.803
-0.781,0.237,0.565,9.949,38.330,10.620
-0.773,0.222,0.574,11.597,38.879,10.803
-0.769,0.206,0.587,12.207,39.734,11.353
-0.771,0.193,0.596,11.475,40.894,12.146
-0.760,0.184,0.606,9.644,42.480,13.611
-0.759,0.184,0.610,7.263,44.128,15.076
-0.758,0.196,0.611,5.127,44.678,15.991
-0.752,0.212,0.611,3.540,44.922,16.479
-0.751,0.229,0.612,2.686,45.044,16.418
-0.744,0.242,0.605,2.563,44.861,15.991
-0.734,0.249,0.601,2.869,44.373,15.015
-0.725,0.250,0.594,3.296,43.884,13.977
-0.715,0.253,0.587,3.357,43.091,12.878
-0.707,0.254,0.587,3.357,41.504,11.597
-0.703,0.254,0.598,4.456,39.185,10.254

-1.566,-0.218,1.323,89.722,-384.949,-172.363
-1.546,-0.276,1.367,71.838,-358.154,-175.598
-1.525,-0.330,1.382,57.312,-335.449,-175.171
-1.512,-0.350,1.394,45.227,-316.895,-171.082
-1.503,-0.381,1.390,34.424,-302.673,-166.382
-1.498,-0.388,1.378,23.743,-289.978,-161.621
-1.481,-0.329,1.359,12.268,-276.978,-155.334
-1.493,-0.297,1.344,8.484,-269.653,-149.292
-1.512,-0.317,1.350,15.137,-266.357,-144.165
-1.476,-0.368,1.357,21.057,-258.972,-139.343
-1.432,-0.390,1.334,20.081,-247.498,-134.155
-1.376,-0.376,1.302,11.292,-234.741,-128.723
-1.317,-0.364,1.265,-1.038,-224.121,-124.451
-1.286,-0.339,1.220,-14.038,-214.294,-119.080
-1.245,-0.308,1.161,-27.039,-202.576,-112.305
-1.198,-0.276,1.098,-37.048,-191.589,-103.943
-1.159,-0.209,1.037,-43.335,-183.105,-94.177
-1.143,-0.152,1.003,-42.419,-179.626,-83.801
-1.115,-0.109,1.014,-33.264,-181.519,-75.134
-1.168,-0.151,1.017,-23.071,-181.946,-63.660
-1.129,-0.182,1.065,-10.986,-184.143,-56.396
-1.138,-0.229,1.072,-7.324,-184.265,-53.223
-1.123,-0.251,1.095,-16.479,-175.110,-48.645
-1.141,-0.223,1.060,-33.142,-163.208,-42.603
-1.125,-0.189,1.043,-55.542,-146.057,-34.790
-1.077,-0.096,0.984,-77.759,-130.676,-28.748
-1.047,0.024,0.892,-95.642,-119.324,-24.048
-1.018,0.155,0.841,-104.431,-112.061,-19.836
-1.023,0.270,0.784,-100.525,-114.563,-17.883
-1.018,0.339,0.793,-88.867,-119.202,-18.188
-1.036,0.385,0.849,-71.045,-123.779,-20.752
-1.050,0.336,0.894,-49.438,-129.211,-26.855
-1.062,0.241,0.959,-31.067,-129.822,-33.875
-1.077,0.159,0.999,-23.132,-123.962,-36.987
-1.082,0.103,1.015,-24.109,-113.525,-34.729
-1.071,0.083,1.018,-30.884,-99.365,-30.457
-1.042,0.102,1.002,-38.452,-83.984,-25.513
-1.022,0.144,0.981,-43.091,-70.007,-20.569
-1.008,0.183,0.955,-41.992,-57.251,-16.602
-0.996,0.192,0.943,-35.156,-46.509,-13.062
-0.992,0.204,0.918,-26.367,-37.720,-10.132
-0.985,0.205,0.891,-18.982,-27.344,-7.385
-0.970,0.197,0.857,-13.489,-16.846,-5.676
-0.953,0.195,0.811,-10.559,-7.080,-4.456
-0.949,0.192,0.751,-10.803,0.244,-3.357
-0.939,0.201,0.709,-11.475,6.653,-3.235
-0.928,0.199,0.667,-11.536,11.597,-3.479
-0.910,0.206,0.621,-10.437,15.503,-3.235
-0.895,0.210,0.585,-6.897,18.311,-2.014
-0.889,0.199,0.562,-1.526,19.348,-1.282
-0.885,0.187,0.544,4.150,20.142,-0.732
-0.877,0.167,0.526,7.812,21.118,-0.183
-0.872,0.151,0.514,9.583,21.790,0.366
-0.865,0.149,0.502,8.057,22.461,0.854
-0.862,0.148,0.496,5.981,22.339,1.221
-0.868,0.141,0.491,5.127,21.545,1.282
-0.863,0.141,0.483,4.517,22.156,1.831
-0.854,0.153,0.468,3.906,22.888,3.357
-0.842,0.160,0.459,3.296,22.949,4.944
-0.837,0.181,0.455,1.892,22.461,5.981
-0.847,0.206,0.448,1.282,21.729,6.470
-0.851,0.224,0.452,2.502,20.813,5.920
-0.853,0.225,0.456,5.249,20.386,5.249
-0.857,0.213,0.453,8.911,20.325,4.211
-0.857,0.191,0.456,11.658,20.447,3.357
-0.856,0.179,0.453,11.780,21.362,3.113
-0.856,0.182,0.438,9.705,22.461,3.540
-0.856,0.191,0.428,7.996,23.743,4.272
-0.856,0.205,0.422,7.324,24.414,4.761
-0.847,0.210,0.415,6.897,24.597,4.822
-0.843,0.204,0.414,7.507,24.292,4.822
-0.832,0.208,0.400,7.568,23.743,4.700
-0.814,0.215,0.391,6.165,22.583,4.944
-0.810,0.229,0.388,4.517,19.958,4.150
-0.814,0.244,0.383,2.869,16.785,2.747
-0.817,0.249,0.391,3.235,13.855,1.099
-0.818,0.240,0.401,5.188,11.108,-0.305
-0.819,0.220,0.416,7.568,8.911,-1.038
-0.824,0.192,0.434,9.033,7.629,-0.916
-0.828,0.174,0.442,7.996,7.568,-0.549
-0.826,0.189,0.442,4.456,8.667,0.549
-0.821,0.213,0.431,1.099,9.583,1.587
-0.818,0.237,0.428,0.183,9.949,2.258
-0.814,0.248,0.423,1.648,9.705,2.075
-0.812,0.241,0.434,4.944,8.423,2.014
-0.819,0.226,0.448,8.179,6.836,1.770
-0.831,0.203,0.461,10.132,5.615,1.282
-0.833,0.192,0.469,9.766,5.737,0.916
-0.834,0.193,0.471,7.324,6.775,0.732
-0.833,0.196,0.473,5.127,7.812,0.305
-0.822,0.199,0.477,3.113,8.728,-0.183
-0.813,0.205,0.479,2.014,9.277,-0.061
-0.818,0.206,0.475,2.441,9.338,0.183
-0.815,0.199,0.480,4.089,9.521,0.549
-0.814,0.186,0.483,5.249,9.705,0.977
-0.814,0.182,0.482,5.432,10.315,1.404
-0.813,0.186,0.479,4.883,10.742,2.136
-0.809,0.192,0.475,3.479,10.742,2.625
-0.806,0.201,0.479,2.502,9.949,2.502
-0.807,0.205,0.486,1.953,8.667,2.014
-0.809,0.205,0.495,2.075,7.019,1.343
-0.812,0.205,0.509,2.869,6.042,0.793
-0.816,0.200,0.518,3.845,5.554,0.549
-0.816,0.192,0.526,5.310,5.920,0.793
-0.817,0.177,0.536,6.836,6.470,1.099
-0.820,0.159,0.544,7.568,7.385,1.526
-0.815,0.155,0.543,6.287,8.972,2.380
-0.810,0.159,0.541,4.028,10.315,3.296
-0.808,0.173,0.547,1.831,11.414,4.028
-0.808,0.189,0.548,0.000,11.841,4.028
-0.805,0.191,0.551,-0.793,12.207,3.723
-0.804,0.194,0.560,-0.366,12.756,3.845
-0.803,0.203,0.567,-0.061,12.878,3.784
-0.811,0.214,0.575,1.038,13.123,3.296
-0.814,0.215,0.585,3.479,13.916,2.808
-0.815,0.206,0.599,6.470,14.893,2.197
-0.816,0.186,0.607,9.155,16.235,1.526
-0.815,0.158,0.606,11.230,18.616,1.221
-0.805,0.129,0.593,11.414,21.423,1.831

-0.977,-0.902,1.425,153.809,-357.666,-194.519
-0.854,-0.866,1.408,38.269,-311.829,-194.885
-0.725,-0.562,1.247,-85.815,-265.625,-187.561
-0.706,-0.156,1.034,-173.706,-236.511,-173.828
-0.771,0.123,0.889,-192.139,-230.896,-161.316
-0.874,0.310,0.886,-151.428,-235.718,-155.640
-0.967,0.286,0.928,-83.740,-245.239,-150.818
-1.015,0.115,0.964,-15.198,-251.038,-144.592
-0.990,-0.086,0.998,33.813,-252.319,-140.503
-0.966,-0.265,1.031,55.176,-247.986,-137.085
-0.949,-0.358,1.052,48.218,-238.342,-132.507
-0.951,-0.315,1.032,19.836,-223.206,-126.831
-0.981,-0.187,0.983,-12.634,-209.167,-120.544
-1.029,-0.104,0.948,-25.208,-205.750,-114.197
-1.055,-0.066,0.947,-18.616,-204.651,-107.666
-1.083,-0.072,0.951,-6.287,-200.500,-100.891
-1.089,-0.099,0.943,6.348,-197.632,-95.337
-1.086,-0.139,0.940,12.329,-195.007,-92.285
-1.082,-0.174,0.929,8.423,-190.979,-91.309
-1.071,-0.206,0.913,-1.587,-186.218,-91.431
-1.042,-0.217,0.874,-15.442,-177.673,-92.346
-1.002,-0.196,0.791,-30.884,-166.321,-90.393
-0.985,-0.142,0.702,-44.006,-159.729,-85.022
-1.005,-0.064,0.631,-55.664,-160.950,-80.017
-1.050,0.009,0.594,-60.547,-170.837,-76.172
-1.096,0.043,0.617,-53.955,-184.875,-73.120
-1.145,0.040,0.659,-39.612,-197.205,-69.336
-1.188,0.008,0.709,-22.339,-204.529,-64.880
-1.239,-0.049,0.773,-6.836,-207.764,-59.753
-1.258,-0.111,0.828,0.671,-206.360,-53.894
-1.267,-0.174,0.884,-1.404,-200.562,-48.218
-1.276,-0.171,0.866,-11.780,-189.331,-41.321
-1.223,-0.145,0.857,-24.963,-177.063,-34.424
-1.208,-0.088,0.812,-41.077,-169.434,-33.081
-1.176,-0.010,0.748,-64.148,-159.058,-31.738
-1.160,0.080,0.675,-85.510,-151.306,-31.311
-1.156,0.191,0.597,-99.426,-146.973,-30.212
-1.157,0.257,0.553,-104.797,-142.883,-27.893
-1.156,0.316,0.543,-103.271,-141.357,-26.794
-1.178,0.354,0.535,-96.130,-143.311,-25.879
-1.165,0.375,0.592,-84.534,-145.447,-24.292
-1.192,0.371,0.644,-68.726,-152.100,-22.461
-1.208,0.339,0.750,-52.124,-153.748,-20.203
